Category Load;Category PV;Category Battery;Load profile;PV System;Battery;PV Mode;Battery Power;Behaviour
1;1;1;2;0.1;0.1;2;0.008333333;1
1;1;2;10;0.1;3;2;0.25;1
1;1;3;3;0.1;7;2;0.583333333;1
1;1;4;3;0.1;12;2;1;1
1;2;1;10;5;0.1;2;0.008333333;1
1;2;2;2;5;3;2;0.25;1
1;2;3;10;5;7;2;0.583333333;1
1;2;4;3;5;12;2;1;1
1;3;1;2;10;0.1;2;0.008333333;1
1;3;2;2;10;3;2;0.25;1
1;3;3;3;10;7;2;0.583333333;1
1;3;4;10;10;12;2;1;1
1;4;1;3;15;0.1;2;0.008333333;1
1;4;2;10;15;3;2;0.25;1
1;4;3;2;15;7;2;0.583333333;1
1;4;4;10;15;12;2;1;1
2;1;1;4;0.1;0.1;2;0.008333333;1
2;1;2;14;0.1;3;2;0.25;1
2;1;3;1;0.1;7;2;0.583333333;1
2;1;4;11;0.1;12;2;1;1
2;2;1;6;5;0.1;2;0.008333333;1
2;2;2;8;5;3;2;0.25;1
2;2;3;9;5;7;2;0.583333333;1
2;2;4;14;5;12;2;1;1
2;3;1;6;10;0.1;2;0.008333333;1
2;3;2;11;10;3;2;0.25;1
2;3;3;1;10;7;2;0.583333333;1
2;3;4;8;10;12;2;1;1
2;4;1;4;15;0.1;2;0.008333333;1
2;4;2;9;15;3;2;0.25;1
2;4;3;6;15;7;2;0.583333333;1
2;4;4;11;15;12;2;1;1
3;1;1;5;0.1;0.1;2;0.008333333;1
3;1;2;7;0.1;3;2;0.25;1
3;1;3;12;0.1;7;2;0.583333333;1
3;1;4;12;0.1;12;2;1;1
3;2;1;5;5;0.1;2;0.008333333;1
3;2;2;7;5;3;2;0.25;1
3;2;3;12;5;7;2;0.583333333;1
3;2;4;5;5;12;2;1;1
3;3;1;7;10;0.1;2;0.008333333;1
3;3;2;7;10;3;2;0.25;1
3;3;3;12;10;7;2;0.583333333;1
3;3;4;5;10;12;2;1;1
3;4;1;12;15;0.1;2;0.008333333;1
3;4;2;5;15;3;2;0.25;1
3;4;3;5;15;7;2;0.583333333;1
3;4;4;7;15;12;2;1;1
4;1;1;13;0.1;0.1;2;0.008333333;1
4;1;2;17;0.1;3;2;0.25;1
4;1;3;15;0.1;7;2;0.583333333;1
4;1;4;16;0.1;12;2;1;1
4;2;1;16;5;0.1;2;0.008333333;1
4;2;2;15;5;3;2;0.25;1
4;2;3;17;5;7;2;0.583333333;1
4;2;4;13;5;12;2;1;1
4;3;1;13;10;0.1;2;0.008333333;1
4;3;2;16;10;3;2;0.25;1
4;3;3;17;10;7;2;0.583333333;1
4;3;4;15;10;12;2;1;1
4;4;1;17;15;0.1;2;0.008333333;1
4;4;2;15;15;3;2;0.25;1
4;4;3;16;15;7;2;0.583333333;1
4;4;4;13;15;12;2;1;1
1;1;1;2;0.1;0.1;2;0.008333333;3
1;1;2;10;0.1;3;2;0.25;3
1;1;3;3;0.1;7;2;0.583333333;3
1;1;4;3;0.1;12;2;1;3
1;2;1;10;5;0.1;2;0.008333333;3
1;2;2;2;5;3;2;0.25;3
1;2;3;10;5;7;2;0.583333333;3
1;2;4;3;5;12;2;1;3
1;3;1;2;10;0.1;2;0.008333333;3
1;3;2;2;10;3;2;0.25;3
1;3;3;3;10;7;2;0.583333333;3
1;3;4;10;10;12;2;1;3
1;4;1;3;15;0.1;2;0.008333333;3
1;4;2;10;15;3;2;0.25;3
1;4;3;2;15;7;2;0.583333333;3
1;4;4;10;15;12;2;1;3
2;1;1;4;0.1;0.1;2;0.008333333;3
2;1;2;14;0.1;3;2;0.25;3
2;1;3;1;0.1;7;2;0.583333333;3
2;1;4;11;0.1;12;2;1;3
2;2;1;6;5;0.1;2;0.008333333;3
2;2;2;8;5;3;2;0.25;3
2;2;3;9;5;7;2;0.583333333;3
2;2;4;14;5;12;2;1;3
2;3;1;6;10;0.1;2;0.008333333;3
2;3;2;11;10;3;2;0.25;3
2;3;3;1;10;7;2;0.583333333;3
2;3;4;8;10;12;2;1;3
2;4;1;4;15;0.1;2;0.008333333;3
2;4;2;9;15;3;2;0.25;3
2;4;3;6;15;7;2;0.583333333;3
2;4;4;11;15;12;2;1;3
3;1;1;5;0.1;0.1;2;0.008333333;3
3;1;2;7;0.1;3;2;0.25;3
3;1;3;12;0.1;7;2;0.583333333;3
3;1;4;12;0.1;12;2;1;3
3;2;1;5;5;0.1;2;0.008333333;3
3;2;2;7;5;3;2;0.25;3
3;2;3;12;5;7;2;0.583333333;3
3;2;4;5;5;12;2;1;3
3;3;1;7;10;0.1;2;0.008333333;3
3;3;2;7;10;3;2;0.25;3
3;3;3;12;10;7;2;0.583333333;3
3;3;4;5;10;12;2;1;3
3;4;1;12;15;0.1;2;0.008333333;3
3;4;2;5;15;3;2;0.25;3
3;4;3;5;15;7;2;0.583333333;3
3;4;4;7;15;12;2;1;3
4;1;1;13;0.1;0.1;2;0.008333333;3
4;1;2;17;0.1;3;2;0.25;3
4;1;3;15;0.1;7;2;0.583333333;3
4;1;4;16;0.1;12;2;1;3
4;2;1;16;5;0.1;2;0.008333333;3
4;2;2;15;5;3;2;0.25;3
4;2;3;17;5;7;2;0.583333333;3
4;2;4;13;5;12;2;1;3
4;3;1;13;10;0.1;2;0.008333333;3
4;3;2;16;10;3;2;0.25;3
4;3;3;17;10;7;2;0.583333333;3
4;3;4;15;10;12;2;1;3
4;4;1;17;15;0.1;2;0.008333333;3
4;4;2;15;15;3;2;0.25;3
4;4;3;16;15;7;2;0.583333333;3
4;4;4;13;15;12;2;1;3
1;1;1;2;0.1;0.1;2;0.008333333;8
1;1;2;10;0.1;3;2;0.25;8
1;1;3;3;0.1;7;2;0.583333333;8
1;1;4;3;0.1;12;2;1;8
1;2;1;10;5;0.1;2;0.008333333;8
1;2;2;2;5;3;2;0.25;8
1;2;3;10;5;7;2;0.583333333;8
1;2;4;3;5;12;2;1;8
1;3;1;2;10;0.1;2;0.008333333;8
1;3;2;2;10;3;2;0.25;8
1;3;3;3;10;7;2;0.583333333;8
1;3;4;10;10;12;2;1;8
1;4;1;3;15;0.1;2;0.008333333;8
1;4;2;10;15;3;2;0.25;8
1;4;3;2;15;7;2;0.583333333;8
1;4;4;10;15;12;2;1;8
2;1;1;4;0.1;0.1;2;0.008333333;8
2;1;2;14;0.1;3;2;0.25;8
2;1;3;1;0.1;7;2;0.583333333;8
2;1;4;11;0.1;12;2;1;8
2;2;1;6;5;0.1;2;0.008333333;8
2;2;2;8;5;3;2;0.25;8
2;2;3;9;5;7;2;0.583333333;8
2;2;4;14;5;12;2;1;8
2;3;1;6;10;0.1;2;0.008333333;8
2;3;2;11;10;3;2;0.25;8
2;3;3;1;10;7;2;0.583333333;8
2;3;4;8;10;12;2;1;8
2;4;1;4;15;0.1;2;0.008333333;8
2;4;2;9;15;3;2;0.25;8
2;4;3;6;15;7;2;0.583333333;8
2;4;4;11;15;12;2;1;8
3;1;1;5;0.1;0.1;2;0.008333333;8
3;1;2;7;0.1;3;2;0.25;8
3;1;3;12;0.1;7;2;0.583333333;8
3;1;4;12;0.1;12;2;1;8
3;2;1;5;5;0.1;2;0.008333333;8
3;2;2;7;5;3;2;0.25;8
3;2;3;12;5;7;2;0.583333333;8
3;2;4;5;5;12;2;1;8
3;3;1;7;10;0.1;2;0.008333333;8
3;3;2;7;10;3;2;0.25;8
3;3;3;12;10;7;2;0.583333333;8
3;3;4;5;10;12;2;1;8
3;4;1;12;15;0.1;2;0.008333333;8
3;4;2;5;15;3;2;0.25;8
3;4;3;5;15;7;2;0.583333333;8
3;4;4;7;15;12;2;1;8
4;1;1;13;0.1;0.1;2;0.008333333;8
4;1;2;17;0.1;3;2;0.25;8
4;1;3;15;0.1;7;2;0.583333333;8
4;1;4;16;0.1;12;2;1;8
4;2;1;16;5;0.1;2;0.008333333;8
4;2;2;15;5;3;2;0.25;8
4;2;3;17;5;7;2;0.583333333;8
4;2;4;13;5;12;2;1;8
4;3;1;13;10;0.1;2;0.008333333;8
4;3;2;16;10;3;2;0.25;8
4;3;3;17;10;7;2;0.583333333;8
4;3;4;15;10;12;2;1;8
4;4;1;17;15;0.1;2;0.008333333;8
4;4;2;15;15;3;2;0.25;8
4;4;3;16;15;7;2;0.583333333;8
4;4;4;13;15;12;2;1;8
1;1;1;2;0.1;0.1;2;0.008333333;9
1;1;2;10;0.1;3;2;0.25;9
1;1;3;3;0.1;7;2;0.583333333;9
1;1;4;3;0.1;12;2;1;9
1;2;1;10;5;0.1;2;0.008333333;9
1;2;2;2;5;3;2;0.25;9
1;2;3;10;5;7;2;0.583333333;9
1;2;4;3;5;12;2;1;9
1;3;1;2;10;0.1;2;0.008333333;9
1;3;2;2;10;3;2;0.25;9
1;3;3;3;10;7;2;0.583333333;9
1;3;4;10;10;12;2;1;9
1;4;1;3;15;0.1;2;0.008333333;9
1;4;2;10;15;3;2;0.25;9
1;4;3;2;15;7;2;0.583333333;9
1;4;4;10;15;12;2;1;9
2;1;1;4;0.1;0.1;2;0.008333333;9
2;1;2;14;0.1;3;2;0.25;9
2;1;3;1;0.1;7;2;0.583333333;9
2;1;4;11;0.1;12;2;1;9
2;2;1;6;5;0.1;2;0.008333333;9
2;2;2;8;5;3;2;0.25;9
2;2;3;9;5;7;2;0.583333333;9
2;2;4;14;5;12;2;1;9
2;3;1;6;10;0.1;2;0.008333333;9
2;3;2;11;10;3;2;0.25;9
2;3;3;1;10;7;2;0.583333333;9
2;3;4;8;10;12;2;1;9
2;4;1;4;15;0.1;2;0.008333333;9
2;4;2;9;15;3;2;0.25;9
2;4;3;6;15;7;2;0.583333333;9
2;4;4;11;15;12;2;1;9
3;1;1;5;0.1;0.1;2;0.008333333;9
3;1;2;7;0.1;3;2;0.25;9
3;1;3;12;0.1;7;2;0.583333333;9
3;1;4;12;0.1;12;2;1;9
3;2;1;5;5;0.1;2;0.008333333;9
3;2;2;7;5;3;2;0.25;9
3;2;3;12;5;7;2;0.583333333;9
3;2;4;5;5;12;2;1;9
3;3;1;7;10;0.1;2;0.008333333;9
3;3;2;7;10;3;2;0.25;9
3;3;3;12;10;7;2;0.583333333;9
3;3;4;5;10;12;2;1;9
3;4;1;12;15;0.1;2;0.008333333;9
