Datetime;CO2-Emissionsfaktor des Strommix
01.01.2024 00:00;164658
01.01.2024 01:00;164999
01.01.2024 02:00;165158
01.01.2024 03:00;168784
01.01.2024 04:00;169418
01.01.2024 05:00;169208
01.01.2024 06:00;171891
01.01.2024 07:00;170775
01.01.2024 08:00;166458
01.01.2024 09:00;156781
01.01.2024 10:00;148958
01.01.2024 11:00;14271
01.01.2024 12:00;144904
01.01.2024 13:00;150679
01.01.2024 14:00;161248
01.01.2024 15:00;173747
01.01.2024 16:00;182487
01.01.2024 17:00;18311
01.01.2024 18:00;182401
01.01.2024 19:00;185346
01.01.2024 20:00;190464
01.01.2024 21:00;1951
01.01.2024 22:00;199449
01.01.2024 23:00;207223
02.01.2024 00:00;210178
02.01.2024 01:00;213823
02.01.2024 02:00;214078
02.01.2024 03:00;207673
02.01.2024 04:00;197951
02.01.2024 05:00;187377
02.01.2024 06:00;180497
02.01.2024 07:00;176812
02.01.2024 08:00;178501
02.01.2024 09:00;186242
02.01.2024 10:00;192812
02.01.2024 11:00;203353
02.01.2024 12:00;209964
02.01.2024 13:00;217358
02.01.2024 14:00;221704
02.01.2024 15:00;219496
02.01.2024 16:00;212009
02.01.2024 17:00;202352
02.01.2024 18:00;194708
02.01.2024 19:00;181052
02.01.2024 20:00;169266
02.01.2024 21:00;159612
02.01.2024 22:00;156525
02.01.2024 23:00;15392
03.01.2024 00:00;159019
03.01.2024 01:00;158777
03.01.2024 02:00;157671
03.01.2024 03:00;156701
03.01.2024 04:00;154655
03.01.2024 05:00;153448
03.01.2024 06:00;145928
03.01.2024 07:00;147826
03.01.2024 08:00;15153
03.01.2024 09:00;153066
03.01.2024 10:00;146534
03.01.2024 11:00;141232
03.01.2024 12:00;142631
03.01.2024 13:00;149307
03.01.2024 14:00;152911
03.01.2024 15:00;166093
03.01.2024 16:00;185929
03.01.2024 17:00;200953
03.01.2024 18:00;209127
03.01.2024 19:00;211815
03.01.2024 20:00;209387
03.01.2024 21:00;202669
03.01.2024 22:00;198671
03.01.2024 23:00;193623
04.01.2024 00:00;187353
04.01.2024 01:00;180756
04.01.2024 02:00;177972
04.01.2024 03:00;17895
04.01.2024 04:00;178655
04.01.2024 05:00;185188
04.01.2024 06:00;206102
04.01.2024 07:00;240256
04.01.2024 08:00;259717
04.01.2024 09:00;267326
04.01.2024 10:00;263768
04.01.2024 11:00;259462
04.01.2024 12:00;272588
04.01.2024 13:00;296152
04.01.2024 14:00;328103
04.01.2024 15:00;373753
04.01.2024 16:00;405758
04.01.2024 17:00;420139
04.01.2024 18:00;441497
04.01.2024 19:00;467294
04.01.2024 20:00;480027
04.01.2024 21:00;483279
04.01.2024 22:00;465789
04.01.2024 23:00;449877
05.01.2024 00:00;422122
05.01.2024 01:00;397355
05.01.2024 02:00;376207
05.01.2024 03:00;359836
05.01.2024 04:00;347171
05.01.2024 05:00;343213
05.01.2024 06:00;341612
05.01.2024 07:00;354194
05.01.2024 08:00;35419
05.01.2024 09:00;34154
05.01.2024 10:00;326563
05.01.2024 11:00;309162
05.01.2024 12:00;310352
05.01.2024 13:00;310877
05.01.2024 14:00;322696
05.01.2024 15:00;342735
05.01.2024 16:00;350284
05.01.2024 17:00;349511
05.01.2024 18:00;35251
05.01.2024 19:00;360919
05.01.2024 20:00;372747
05.01.2024 21:00;375227
05.01.2024 22:00;375892
05.01.2024 23:00;367595
06.01.2024 00:00;363573
06.01.2024 01:00;369713
06.01.2024 02:00;370966
06.01.2024 03:00;374531
06.01.2024 04:00;379194
06.01.2024 05:00;384907
06.01.2024 06:00;389911
06.01.2024 07:00;402828
06.01.2024 08:00;421577
06.01.2024 09:00;416906
06.01.2024 10:00;407959
06.01.2024 11:00;408774
06.01.2024 12:00;407353
06.01.2024 13:00;411495
06.01.2024 14:00;414666
06.01.2024 15:00;421967
06.01.2024 16:00;42065
06.01.2024 17:00;414462
06.01.2024 18:00;411362
06.01.2024 19:00;418604
06.01.2024 20:00;415054
06.01.2024 21:00;417458
06.01.2024 22:00;417995
06.01.2024 23:00;41085
07.01.2024 00:00;40206
07.01.2024 01:00;389797
07.01.2024 02:00;377031
07.01.2024 03:00;375981
07.01.2024 04:00;376873
07.01.2024 05:00;378371
07.01.2024 06:00;372431
07.01.2024 07:00;377468
